Acts 10:10
Acts 10:18
Acts 10:25
Acts 10:26
Acts 10:31
Acts 10:36
Acts 10:40
Acts 10:6
Acts 11:14
Acts 11:16
Acts 11:22
Acts 11:24
Acts 11:25
Acts 11:30
Acts 12:1
Acts 12:14
Acts 12:17
Acts 12:18
Acts 12:22
Acts 12:5
Acts 12:6
Acts 13:15
Acts 13:44
Acts 13:7
Acts 14:10
Acts 14:11
Acts 14:13
Acts 14:14
Acts 14:17
Acts 14:18
Acts 14:19
Acts 14:20
Acts 15:22
Acts 15:39
Acts 16:16
Acts 16:19
Acts 16:2
Acts 16:37
Acts 16:40
Acts 17:10
Acts 17:19
Acts 18:10
Acts 18:12
Acts 18:21
Acts 19:11
Acts 19:17
Acts 19:19
Acts 19:27
Acts 19:30
Acts 19:35
Acts 1:8
Acts 20:24
Acts 20:36
Acts 20:4
Acts 20:5
Acts 21:14
Acts 21:18
Acts 21:22
Acts 21:37
Acts 21:40
Acts 22:19
Acts 22:2
Acts 22:21
Acts 22:25
Acts 23:1
Acts 23:12
Acts 23:17
Acts 23:29
Acts 23:34
Acts 23:9
Acts 24:2
Acts 25:11
Acts 25:14
Acts 25:20
Acts 26:24
Acts 27:1
Acts 27:18
Acts 27:22
Acts 27:24
Acts 27:25
Acts 27:32
Acts 27:4
Acts 27:8
Acts 28:12
Acts 28:13
Acts 28:31
Acts 2:12
Acts 2:14
Acts 2:28
Acts 2:34
Acts 2:36
Acts 2:39
Acts 2:40
Acts 2:42
Acts 2:45
Acts 2:9
Acts 3:16
Acts 3:20
Acts 4:14
Acts 4:37
Acts 4:9
Acts 5:24
Acts 5:26
Acts 5:33
Acts 6:12
Acts 6:2
Acts 6:9
Acts 7:1
Acts 7:10
Acts 7:13
Acts 7:14
Acts 7:17
Acts 7:3
Acts 7:5
Acts 7:55
Acts 7:56
Acts 7:57
Acts 7:58
Acts 7:59
Acts 8:35
Acts 8:6
Acts 8:7
Acts 8:8
Acts 9:19
Colossians 1:1
Colossians 1:10
Colossians 1:15
Colossians 1:28
Colossians 1:3
Colossians 2:13
Colossians 2:21
Colossians 3:24
Colossians 3:25
Colossians 3:5
Colossians 4:14
Colossians 4:16
Ephesians 1:10
Ephesians 1:13
Ephesians 1:21
Ephesians 1:4
Ephesians 2:10
Ephesians 2:18
Ephesians 3:19
Ephesians 4:29
Ephesians 4:4
Ephesians 5:11
Ephesians 5:12
Ephesians 5:13
Ephesians 5:2
Ephesians 5:29
Ephesians 5:3
Ephesians 5:5
Ephesians 5:6
Ephesians 5:7
Ephesians 6:20
Ephesians 6:8
Ephesians 6:9
Galatians 1:12
Galatians 1:16
Galatians 1:8
Galatians 2:1
Galatians 2:12
Galatians 2:17
Galatians 2:20
Galatians 2:8
Galatians 2:9
Galatians 3:28
Galatians 4:7
Galatians 4:8
Galatians 5:10
Galatians 5:25
Galatians 5:26
Galatians 5:7
Galatians 6:12
Galatians 6:13
Galatians 6:14
Hebrews 10:15
Hebrews 10:16
Hebrews 10:36
Hebrews 10:8
Hebrews 11:5
Hebrews 11:6
Hebrews 12:17
Hebrews 12:24
Hebrews 12:27
Hebrews 13:1
Hebrews 13:21
Hebrews 1:6
Hebrews 2:16
Hebrews 2:6
Hebrews 2:7
Hebrews 3:14
Hebrews 4:13
Hebrews 4:8
Hebrews 5:2
Hebrews 5:4
Hebrews 6:16
Hebrews 6:2
Hebrews 6:8
Hebrews 7:25
Hebrews 8:3
Hebrews 9:10
Hebrews 9:15
Hebrews 9:20
Hebrews 9:26
Hebrews 9:3
Hebrews 9:8
I Corinthians 10:18
I Corinthians 10:19
I Corinthians 10:26
I Corinthians 10:27
I Corinthians 10:3
I Corinthians 11:11
I Corinthians 11:26
I Corinthians 11:29
I Corinthians 11:31
I Corinthians 11:33
I Corinthians 11:4
I Corinthians 11:6
I Corinthians 11:8
I Corinthians 12:20
